"number","title","pageid","namespace","length","touched"
"389","Talk:Arab_Winter","43530066","Talk","72398","20190530204436"
"390","Talk:National_Salvation_Government","43756715","Talk","13406","20190530201152"
"391","Talk:2014_Hong_Kong_protests","43976888","Talk","39198","20190530203820"
"392","Talk:(486958)_2014_MU69","44169378","Talk","27430","20190530204339"
"393","Talk:Mattress_Performance_(Carry_That_Weight)","44267625","Talk","3214","20190531154324"
"394","Talk:Hausa-language_cinema","44642677","Talk","13335","20190516185704"
"395","Talk:2014_Montgomery_County_shootings","44733768","Talk","13440","20190603004343"
"396","Talk:Ivanovic–Janković_rivalry","44759457","Talk","1924","20190530201927"
"397","Talk:Mahatma_Gandhi/Archive_13","45269641","Talk","100365","20190531225313"
"398","Talk:Persecution_of_Eastern_Orthodox_Christians","46419138","Talk","138297","20190531072216"
"399","Talk:Blockchain","46732162","Talk","9862","20190531182733"
"400","Talk:Murders_of_Alison_Parker_and_Adam_Ward","47634165","Talk","4043","20190530201348"
"401","Talk:Kim_Davis","47692782","Talk","3529","20190603004443"
"402","Talk:People_of_Earth","49092440","Talk","15835","20190530202118"
"403","Talk:Lego_House_(disambiguation)","49210363","Talk","6898","20190504082130"
"404","Talk:IWI_Tavor_X95","50129166","Talk","6808","20190520001731"
"405","Talk:Killing_of_Harambe","50699862","Talk","6649","20190603004518"
"406","Talk:Islamic_terrorism_in_Europe","51246438","Talk","154412","20190531200550"
"407","Talk:Operation_Euphrates_Shield","51408519","Talk","13226","20190530202206"
"408","Talk:Organ_Sonatas_(Bach)","51501968","Talk","52000","20190601142333"
"409","Talk:Russian_interference_in_the_2016_United_States_elections","52547545","Talk","81647","20190603162010"
"410","Talk:Isaaq_genocide","52877883","Talk","17363","20190530203715"
"411","Talk:Giants_Netball","53204744","Talk","2594","20190530205523"
"412","Talk:2017–2018_Russian_protests","53603260","Talk","20155","20190522023524"
"413","Talk:Durrës/Archive_1","53892176","Talk","55780","20190504084232"
"414","Talk:BAMTech","54870112","Talk","46506","20190516181943"
"415","Talk:2017_Turku_attack","54950786","Talk","24913","20190530201703"
"416","Talk:Acquisition_of_21st_Century_Fox_by_Disney","56054492","Talk","10150","20190523115224"
"417","Talk:2017–18_Independence_Cup_(Bangladesh)","56282472","Talk","11778","20190530205806"
"418","Talk:List_of_Doctor_Who_episodes_(1963–1989)","56394151","Talk","302","20190530201745"
"419","Talk:Bareunmirae_Party","56605351","Talk","38609","20190522023707"
"420","Talk:Stephen_Jolly_(politician)","57546262","Talk","19839","20190530205501"
"421","Talk:2018_Independence_Cup_(Bangladesh)","59127404","Talk","8817","20190530210026"
