Libyan Civil War (2011) (n=18)
-----------------------  -  -----------------------  -----------------------
                           →  Tottenham riots 2011       2011/8/6 22:19 ()
Tottenham riots 2011       →  2011 Tottenham riots       2011/8/6 22:25 (+0d)
2011 Tottenham riots       →  2011 North London riots    2011/8/8 1:6 (+1d)
2011 North London riots    →  2011 Tottenham riots       2011/8/8 1:7 (+0d)
2011 Tottenham riots       →  2011 London riots          2011/8/8 17:7 (+0d)
2011 London riots          →  2011 England riots         2011/8/9 18:4 (+1d)
2011 England riots         →  2011 United Kingdom riots  2013/7/24 11:55 (+714d)
2011 United Kingdom riots  →  2011 England riots         2013/8/3 2:6 (+9d)
-------------------------  -  -------------------------  -----------------------

Blockchain (n=8)
----------  -  -----------  ----------------------
            →  Blockchain   2014/10/9 14:38 ()
Blockchain  →  Block chain  2015/6/20 11:7 (+253d)
----------  -  -----------  ----------------------

2012 phenomenon (n=8)
------------------------  -  ------------------------  ----------------------
                          →  2012 Doomsday Prediction  2009/2/14 19:50 ()
2012 Doomsday Prediction  →  2012 Doomsday prediction  2009/2/20 20:45 (+6d)
2012 Doomsday prediction  →  The end of the earth      2009/3/3 22:20 (+11d)
The end of the earth      →  2012 Doomsday prediction  2009/3/4 2:15 (+0d)
2012 Doomsday prediction  →  2012 doomsday prediction  2009/5/8 5:44 (+65d)
2012 doomsday prediction  →  2012 millenarianism       2009/8/16 17:6 (+100d)
2012 millenarianism       →  2012 doomsday prediction  2009/9/5 22:21 (+20d)
2012 doomsday prediction  →  2012 phenomenon           2009/9/6 3:59 (+0d)
2012 phenomenon           →  2012 doomsday prediction  2009/9/6 15:25 (+0d)
2012 doomsday prediction  →  2012 phenomenon           2009/9/6 18:11 (+0d)
2012 phenomenon           →  2012 Phenomenon           2010/3/27 6:3 (+201d)
2012 Phenomenon           →  2012 phenomenon           2010/3/27 8:1 (+0d)
2012 phenomenon           →  2012 apocalypticism       2010/6/5 0:30 (+69d)
2012 apocalypticism       →  2012 phenomenon           2010/6/5 4:20 (+0d)
------------------------  -  ------------------------  ----------------------

Rajneesh (n=8)
---------------------------------------  -  ---------------------------------------  ------------------------
                                         →  Rajneesh                                 2003/2/21 16:50 ()
Rajneesh                                 →  Osho                                     2007/2/1 20:51 (+1441d)
Osho                                     →  Osho (Bhagwan Shree Rajneesh)            2009/4/27 19:24 (+815d)
Osho (Bhagwan Shree Rajneesh)            →  Osho (mystic)                            2010/9/10 0:44 (+500d)
Osho (mystic)                            →  Osho (Bhagwan Shree Rajneesh)            2010/9/10 0:49 (+0d)
Osho (Bhagwan Shree Rajneesh)            →  Osho (Shree Rajneesh)                    2011/12/31 17:29 (+477d)
Osho (Shree Rajneesh)                    →  Osho (Bhagwan Shree Rajneesh)            2011/12/31 19:30 (+0d)
Osho (Bhagwan Shree Rajneesh)            →  Bhagwan Shree Rajneesh                   2012/5/1 12:59 (+121d)
Bhagwan Shree Rajneesh                   →  Rajneesh                                 2013/11/1 23:51 (+549d)
Rajneesh                                 →  Wikipedia:Bhagwan Shree Rajneesh (Osho)  2015/5/1 14:25 (+545d)
Wikipedia:Bhagwan Shree Rajneesh (Osho)  →  Rajneesh                                 2015/5/1 14:49 (+0d)
Rajneesh                                 →  Bhagwan Shree Rajneesh (Osho)            2015/5/1 14:54 (+0d)
Bhagwan Shree Rajneesh (Osho)            →  Rajneesh                                 2015/5/1 15:0 (+0d)
Rajneesh                                 →  Osho                                     2016/10/11 16:26 (+529d)
Osho                                     →  Rajneesh                                 2016/11/6 0:40 (+25d)
---------------------------------------  -  ---------------------------------------  ------------------------

Cheryl (singer) (n=8)
------------------------  -  ------------------------  ------------------------
                          →  Cheryl Tweedy             2004/5/25 16:4 ()
Cheryl Tweedy             →  Cheryl Cole               2006/7/27 10:41 (+792d)
Cheryl Cole               →  Cheryl Tweedy             2010/5/30 16:21 (+1403d)
Cheryl Tweedy             →  Cheryl Cole               2010/5/30 22:48 (+0d)
Cheryl Cole               →  Cheryl (singer)           2012/5/2 19:1 (+702d)
Cheryl (singer)           →  Cheryl Cole               2012/5/2 19:9 (+0d)
Cheryl Cole               →  Cheryl (singer)           2012/5/2 19:14 (+0d)
Cheryl (singer)           →  Cheryl Cole               2012/5/2 19:15 (+0d)
Cheryl Cole               →  Cheryl (entertainer)      2014/9/15 0:32 (+865d)
Cheryl (entertainer)      →  Cheryl Cole               2014/9/15 0:41 (+0d)
Cheryl Cole               →  Cheryl (Singer)           2014/10/2 4:11 (+17d)
Cheryl (Singer)           →  Cheryl Cole               2014/10/2 4:15 (+0d)
Cheryl Cole               →  Cheryl Fernandez-Versini  2015/9/3 20:43 (+336d)
Cheryl Fernandez-Versini  →  Cheryl (entertainer)      2016/6/5 7:24 (+275d)
Cheryl (entertainer)      →  Cheryl (singer)           2017/12/13 14:9 (+556d)
------------------------  -  ------------------------  ------------------------

Prince Harry, Duke of Sussex (n=8)
----------------------------  -  ----------------------------  ------------------------
                              →  Prince Harry of Wales         2002/1/17 23:46 ()
Prince Harry of Wales         →  Prince Henry of Wales         2006/3/29 5:33 (+1531d)
Prince Henry of Wales         →  Prince Harry of Wales         2006/4/24 17:57 (+26d)
Prince Harry of Wales         →  Prince Henry of Wales         2006/4/28 15:43 (+3d)
Prince Henry of Wales         →  Prince Harry of Wales         2006/5/12 7:53 (+13d)
Prince Harry of Wales         →  Prince Henry of Wales         2006/11/30 12:42 (+202d)
Prince Henry of Wales         →  HA 66ER ?                     2008/12/18 7:3 (+748d)
HA 66ER ?                     →  Prince Henry of Wales         2008/12/18 7:4 (+0d)
Prince Henry of Wales         →  Prince Harry of Wales         2009/8/1 5:17 (+225d)
Prince Harry of Wales         →  Prince Harry                  2010/6/26 8:28 (+329d)
Prince Harry                  →  Prince Harry of Wales         2010/6/26 8:28 (+0d)
Prince Harry of Wales         →  Prince Harry                  2013/12/29 0:40 (+1281d)
Prince Harry                  →  Prince Harry, Duke of Sussex  2018/5/19 7:40 (+1602d)
Prince Harry, Duke of Sussex  →  Prince Harry                  2018/5/27 21:11 (+8d)
Prince Harry                  →  Prince Harry, Duke of Sussex  2018/6/9 13:34 (+12d)
Prince Harry, Duke of Sussex  →  Prince Harry                  2018/6/9 13:39 (+0d)
Prince Harry                  →  Prince Harry, Duke of Sussex  2018/6/25 20:49 (+16d)
----------------------------  -  ----------------------------  ------------------------

Great Famine (Ireland) (n=8)
----------------------------------  -  ----------------------------------  -----------------------
                                    →  Irish Potato Famine (1845-1849)     2001/5/11 13:24 ()
Irish Potato Famine (1845-1849)     →  Irish Potato Famine (1845–1849)     2006/6/28 11:2 (+1873d)
Irish Potato Famine (1845–1849)     →  Irish Potato Famine                 2007/2/20 17:58 (+237d)
Irish Potato Famine                 →  Brennan's Potato Famine             2007/4/25 16:20 (+63d)
Brennan's Potato Famine             →  Irish Potato Famine                 2007/4/25 16:57 (+0d)
Irish Potato Famine                 →  The Great Hunger                    2008/5/30 14:9 (+400d)
The Great Hunger                    →  Great Famine (Ireland)              2008/7/1 1:3 (+31d)
Great Famine (Ireland)              →  MediaWiki talk:Irish potato famine  2010/11/12 1:42 (+864d)
MediaWiki talk:Irish potato famine  →  Great Famine (Ireland)              2010/11/12 1:43 (+0d)
----------------------------------  -  ----------------------------------  -----------------------

Star Wars (film) (n=8)
------------------------------------  -  ------------------------------------  ------------------------
                                      →  Star Wars Episode IV: A New Hope      2002/5/20 0:19 ()
Star Wars Episode IV: A New Hope      →  Star Wars: Episode IV A New Hope      2006/3/10 2:38 (+1390d)
Star Wars: Episode IV A New Hope      →  Star Wars Episode IV: A New Hope      2006/4/8 2:4 (+28d)
Star Wars Episode IV: A New Hope      →  Star Wars: Episode IV A New Hope      2006/4/12 21:40 (+4d)
Star Wars: Episode IV A New Hope      →  Star Wars Episode IV: A New Hope      2006/4/24 2:57 (+11d)
Star Wars Episode IV: A New Hope      →  Crass Wars Episode IV: A New Greaser  2006/6/5 13:51 (+42d)
Crass Wars Episode IV: A New Greaser  →  Star Wars Episode IV: A New Hope      2006/6/5 14:36 (+0d)
Star Wars Episode IV: A New Hope      →  Star Wars: Episode IV - A New Hope    2007/10/13 10:28 (+494d)
Star Wars: Episode IV - A New Hope    →  Star Wars Episode IV: A New Hope      2007/10/13 19:48 (+0d)
Star Wars Episode IV: A New Hope      →  Star Wars - a New Hope                2008/8/10 14:59 (+301d)
Star Wars - a New Hope                →  Star Wars Episode IV: A New Hope      2008/8/10 15:0 (+0d)
Star Wars Episode IV: A New Hope      →  They came from...behind !             2010/5/31 10:4 (+658d)
They came from...behind !             →  Star Wars Episode IV: A New Hope      2010/5/31 10:5 (+0d)
Star Wars Episode IV: A New Hope      →  Star Wars (film)                      2014/1/14 23:45 (+1324d)
Star Wars (film)                      →  Star Wars Episode IV: A New Hope      2014/1/16 22:27 (+1d)
Star Wars Episode IV: A New Hope      →  Star Wars (film)                      2014/1/16 22:31 (+0d)
------------------------------------  -  ------------------------------------  ------------------------

Plymouth (n=8)
---------------------------------  -  ---------------------------------  ------------------------
                                   →  Plymouth                           2001/7/19 11:58 ()
Plymouth                           →  HADDER (with Gs instėad of Ds)?.?  2008/7/22 5:43 (+2559d)
HADDER (with Gs instėad of Ds)?.?  →  Plymouth                           2008/7/22 5:45 (+0d)
Plymouth                           →  MediaWiki talk:Plymouth, England   2009/12/23 11:34 (+519d)
MediaWiki talk:Plymouth, England   →  Plymouth                           2009/12/23 11:34 (+0d)
---------------------------------  -  ---------------------------------  ------------------------

Tenedos (n=8)
------------------  -  ------------------  ----------------------
                    →  Tenedos             2004/4/4 16:5 ()
Tenedos             →  Bozcaada (Tenedos)  2007/3/9 9:38 (+1068d)
Bozcaada (Tenedos)  →  Tenedos             2007/3/13 5:23 (+3d)
Tenedos             →  Bozcaada            2007/3/18 2:55 (+4d)
Bozcaada            →  Tenedos             2007/3/18 2:58 (+0d)
Tenedos             →  Bozcaada            2007/3/18 12:57 (+0d)
Bozcaada            →  Tenedhos            2007/3/18 16:19 (+0d)
Tenedhos            →  Bozcaada            2007/3/18 16:21 (+0d)
Bozcaada            →  Tenedos             2007/3/18 16:22 (+0d)
Tenedos             →  Bozcaada (Tenedos)  2008/1/4 12:35 (+291d)
Bozcaada (Tenedos)  →  Tenedos             2008/1/17 17:18 (+13d)
Tenedos             →  Bozcada             2011/4/7 11:0 (+1175d)
Bozcada             →  Tenedos             2011/4/9 21:51 (+2d)
Tenedos             →  Bozccada            2011/4/12 10:46 (+2d)
Bozccada            →  Bozca Ada           2011/4/12 11:2 (+0d)
Bozca Ada           →  Tenedos             2011/4/12 21:33 (+0d)
Tenedos             →  Bozcaada (Island)   2018/3/8 2:50 (+2521d)
Bozcaada (Island)   →  Tenedos             2018/3/8 2:54 (+0d)
Tenedos             →  Bozcaada (Island)   2018/3/8 3:1 (+0d)
Bozcaada (Island)   →  Tenedos             2018/3/8 3:13 (+0d)
------------------  -  ------------------  ----------------------

Russian interference in the 2016 United States elections (n=7)
--------------------------------------------------------------------  -  --------------------------------------------------------------------  ----------------------
                                                                      →  Russian involvement in the 2016 United States presidential election   2016/12/10 17:27 ()
Russian involvement in the 2016 United States presidential election   →  Russian influence on the 2016 United States presidential election     2016/12/11 17:25 (+0d)
Russian influence on the 2016 United States presidential election     →  Russian intervention in the 2016 United States presidential election  2016/12/12 18:6 (+1d)
Russian intervention in the 2016 United States presidential election  →  2016 United States election interference by Russia                    2016/12/12 22:24 (+0d)
2016 United States election interference by Russia                    →  Alleged 2016 United States election interference by Russia            2016/12/13 5:36 (+0d)
Alleged 2016 United States election interference by Russia            →  2016 United States election interference by Russia                    2016/12/13 6:18 (+0d)
2016 United States election interference by Russia                    →  Russian interference in the 2016 United States elections              2017/2/22 21:23 (+71d)
--------------------------------------------------------------------  -  --------------------------------------------------------------------  ----------------------

Sia (musician) (n=7)
--------------  -  --------------  ------------------------
                →  Sia Furler      2004/8/3 15:15 ()
Sia Furler      →  Sia (singer)    2014/7/25 12:44 (+3642d)
Sia (singer)    →  Sia Furler      2014/7/25 15:12 (+0d)
Sia Furler      →  Sia (musician)  2014/11/11 20:18 (+109d)
Sia (musician)  →  Sia Furler      2015/3/24 0:59 (+132d)
Sia Furler      →  Sia (musician)  2015/3/24 1:4 (+0d)
Sia (musician)  →  Sia Furler      2015/4/6 1:26 (+13d)
Sia Furler      →  Sia (musician)  2016/8/3 4:11 (+485d)
Sia (musician)  →  Sia Furler      2016/8/3 12:9 (+0d)
Sia Furler      →  Sia (musician)  2017/4/18 12:52 (+258d)
--------------  -  --------------  ------------------------

Ivory Coast (n=7)
---------------------------  -  ---------------------------  -------------------------
                             →  Côte d'Ivoire                2001/10/31 22:53 ()
Côte d'Ivoire                →  Ivory Coast                  2005/11/11 16:42 (+1471d)
Ivory Coast                  →  Côte d'Ivoire                2005/11/11 17:22 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2005/11/11 17:31 (+0d)
Ivory Coast                  →  Côte d'Ivoire                2005/11/11 17:33 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2005/11/14 15:55 (+2d)
Ivory Coast                  →  Côte d'Ivoire                2005/11/14 16:8 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2005/11/17 2:37 (+2d)
Ivory Coast                  →  Côte d'Ivoire                2005/11/17 6:49 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2006/4/7 17:30 (+141d)
Ivory Coast                  →  Côte d'Ivoire                2006/4/7 17:51 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2006/4/7 17:53 (+0d)
Ivory Coast                  →  Côte d'Ivoire                2006/4/7 22:13 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2006/4/7 22:17 (+0d)
Ivory Coast                  →  Côte d'Ivoire                2006/4/7 23:36 (+0d)
Côte d'Ivoire                →  Ivory Coast (Côte d'Ivoire)  2006/6/21 14:49 (+74d)
Ivory Coast (Côte d'Ivoire)  →  Côte d'Ivoire                2006/6/21 16:15 (+0d)
Côte d'Ivoire                →  The Ivory Coast              2007/5/14 9:1 (+326d)
The Ivory Coast              →  Côte d'Ivoire                2007/5/14 9:23 (+0d)
Côte d'Ivoire                →  Ivory Coаst                  2008/4/8 18:43 (+330d)
Ivory Coаst                  →  Côte d'Ivoire                2008/4/8 19:26 (+0d)
Côte d'Ivoire                →  Ivory Coаst                  2008/4/8 19:28 (+0d)
Ivory Coаst                  →  Côte d'Ivoire                2008/4/8 19:40 (+0d)
Côte d'Ivoire                →  HAGGËR??                     2008/4/29 9:2 (+20d)
HAGGËR??                     →  Côte d'Ivoire                2008/4/29 9:5 (+0d)
Côte d'Ivoire                →  Côte d'Ivoire/Temp           2008/8/5 5:42 (+97d)
Côte d'Ivoire/Temp           →  Côte d'Ivoire                2008/8/5 5:42 (+0d)
Côte d'Ivoire                →  MediaWiki talk:Cote DIvoire  2010/9/10 2:29 (+765d)
MediaWiki talk:Cote DIvoire  →  Côte d'Ivoire                2010/9/10 2:30 (+0d)
Côte d'Ivoire                →  Ivory Coast                  2012/7/8 22:42 (+667d)
---------------------------  -  ---------------------------  -------------------------

Ana Ivanovic (n=7)
------------  -  ------------  ------------------------
              →  Ana Ivanovic  2005/4/12 19:24 ()
Ana Ivanovic  →  Ana Ivanović  2005/6/29 0:16 (+77d)
Ana Ivanović  →  Ana Ivanovic  2008/5/19 8:43 (+1055d)
Ana Ivanovic  →  Ana Ivanović  2008/6/7 13:51 (+19d)
Ana Ivanović  →  Ana Ivanovic  2008/6/9 10:13 (+1d)
Ana Ivanovic  →  Ana Ivanović  2008/6/9 12:37 (+0d)
Ana Ivanović  →  Ana Ivanovic  2008/6/9 14:26 (+0d)
Ana Ivanovic  →  Ana Ivanović  2008/6/9 16:22 (+0d)
Ana Ivanović  →  Ana Ivanovic  2012/2/28 20:16 (+1359d)
Ana Ivanovic  →  Ana Ivanović  2016/2/3 16:57 (+1435d)
Ana Ivanović  →  Ana Ivanovic  2016/2/3 16:59 (+0d)
------------  -  ------------  ------------------------

Orange (colour) (n=7)
---------------  -  ---------------  -----------------------
                 →  Orange (colour)  2002/8/13 13:46 ()
Orange (colour)  →  HGGER??          2008/6/12 4:44 (+2129d)
HGGER??          →  Orange (colour)  2008/6/12 4:44 (+0d)
Orange (colour)  →  Orange (color)   2010/11/10 0:34 (+880d)
Orange (color)   →  Orange (colour)  2010/11/10 0:36 (+0d)
---------------  -  ---------------  -----------------------

Inter Milan (n=7)
---------------------------  -  ---------------------------  ------------------------
                             →  F.C. Internazionale Milano   2001/11/1 15:43 ()
F.C. Internazionale Milano   →  F. C. Internazionale Milano  2006/8/23 13:41 (+1755d)
F. C. Internazionale Milano  →  F.C. Internazionale Milano   2006/8/23 15:56 (+0d)
F.C. Internazionale Milano   →  Inter Milan                  2012/6/22 5:33 (+2129d)
---------------------------  -  ---------------------------  ------------------------

Compact disc (n=7)
------------  -  ------------  ------------------------
              →  Compact disc  2001/9/18 10:32 ()
Compact disc  →  Compact Disc  2006/6/14 19:48 (+1730d)
Compact Disc  →  Compact disc  2006/11/8 2:51 (+146d)
Compact disc  →  Compact Disc  2006/11/8 17:19 (+0d)
Compact Disc  →  Compact disc  2007/1/25 22:36 (+78d)
Compact disc  →  Compact Disc  2007/2/1 10:46 (+6d)
Compact Disc  →  Compact disc  2007/8/18 17:30 (+198d)
Compact disc  →  Compact Disc  2007/9/15 11:33 (+27d)
Compact Disc  →  Compact disc  2007/9/15 17:31 (+0d)
Compact disc  →  Compact Disc  2007/9/15 17:48 (+0d)
Compact Disc  →  Compact disc  2008/3/23 19:33 (+190d)
Compact disc  →  Compact Disc  2008/3/27 9:4 (+3d)
Compact Disc  →  Compact disc  2010/2/14 13:8 (+689d)
Compact disc  →  Compact Disc  2010/2/14 22:35 (+0d)
Compact Disc  →  Compact disc  2013/3/3 2:51 (+1112d)
Compact disc  →  Compact Disc  2013/9/5 19:26 (+186d)
Compact Disc  →  Compact disc  2013/9/5 19:41 (+0d)
------------  -  ------------  ------------------------

Ceres (dwarf planet) (n=7)
--------------------  -  --------------------  ------------------------
                      →  1 Ceres               2002/4/2 18:38 ()
1 Ceres               →  Ceres (asteroid)      2006/4/12 15:10 (+1470d)
Ceres (asteroid)      →  1 Ceres               2006/6/17 3:15 (+65d)
1 Ceres               →  Ceres (dwarf planet)  2006/8/24 16:46 (+68d)
Ceres (dwarf planet)  →  1 Ceres               2006/8/24 18:7 (+0d)
1 Ceres               →  Ceres                 2006/9/21 15:34 (+27d)
Ceres                 →  1 Ceres               2006/9/21 21:35 (+0d)
1 Ceres               →  Ceres                 2006/9/21 21:37 (+0d)
Ceres                 →  1 Ceres               2006/9/21 21:43 (+0d)
1 Ceres               →  Ceres (planetoid)     2006/9/27 20:35 (+5d)
Ceres (planetoid)     →  1 Ceres               2006/9/27 20:55 (+0d)
1 Ceres               →  Ceres (dwarf planet)  2006/10/13 18:23 (+15d)
Ceres (dwarf planet)  →  1 Ceres               2007/12/7 22:38 (+420d)
1 Ceres               →  Ceres (dwarf planet)  2007/12/7 22:41 (+0d)
Ceres (dwarf planet)  →  HАGGER??              2008/4/18 6:20 (+132d)
HАGGER??              →  Ceres (dwarf planet)  2008/4/18 6:25 (+0d)
--------------------  -  --------------------  ------------------------

Illegal immigration (n=7)
-------------------------------------  -  -------------------------------------  ------------------------
                                       →  Illegal immigration                    2002/12/15 11:10 ()
Illegal immigration                    →  The History of Illegal immigration     2007/1/6 21:28 (+1483d)
The History of Illegal immigration     →  Illegal immigration                    2007/1/6 23:0 (+0d)
Illegal immigration                    →  Undocumented/Unauthorized immigration  2007/3/2 1:54 (+54d)
Undocumented/Unauthorized immigration  →  Illegal immigration                    2007/3/6 4:48 (+4d)
Illegal immigration                    →  Undocumented immigration               2010/4/17 3:35 (+1137d)
Undocumented immigration               →  Illegal immigration                    2010/4/17 10:25 (+0d)
Illegal immigration                    →  Irregular immigration                  2011/9/20 13:12 (+521d)
Irregular immigration                  →  Illegal immigration                    2011/10/20 5:14 (+29d)
Illegal immigration                    →  Undocumented migration                 2015/1/17 4:55 (+1184d)
Undocumented migration                 →  Illegal immigration                    2015/1/17 5:33 (+0d)
Illegal immigration                    →  Illegal immigratiom                    2018/6/18 22:54 (+1248d)
Illegal immigratiom                    →  Illegal immigration                    2018/6/18 22:59 (+0d)
-------------------------------------  -  -------------------------------------  ------------------------

Queen Victoria (n=7)
------------------------------------  -  ------------------------------------  ------------------------
                                      →  Victoria of the United Kingdom        2001/5/9 17:2 ()
Victoria of the United Kingdom        →  Queen Victoria of the United Kingdom  2006/3/30 15:50 (+1785d)
Queen Victoria of the United Kingdom  →  Victoria of the United Kingdom        2006/3/30 15:51 (+0d)
Victoria of the United Kingdom        →  Queen Victoria of the United Kingdom  2007/5/17 13:10 (+412d)
Queen Victoria of the United Kingdom  →  Victoria of the United Kingdom        2007/5/17 21:27 (+0d)
Victoria of the United Kingdom        →  Queen Victoria                        2007/10/13 0:34 (+148d)
Queen Victoria                        →  Victoria of the United Kingdom        2007/10/13 1:27 (+0d)
Victoria of the United Kingdom        →  Queen Victoria                        2007/10/13 9:17 (+0d)
Queen Victoria                        →  Victoria of the United Kingdom        2007/10/14 6:40 (+0d)
Victoria of the United Kingdom        →  Queen Victoria                        2007/10/17 13:13 (+3d)
Queen Victoria                        →  Victoria of the United Kingdom        2007/10/17 18:5 (+0d)
Victoria of the United Kingdom        →  Queen Victoria                        2008/8/12 6:20 (+299d)
Queen Victoria                        →  Victoria of the United Kingdom        2008/8/12 6:21 (+0d)
Victoria of the United Kingdom        →  MediaWiki talk:Queen Victoria         2010/9/8 5:55 (+756d)
MediaWiki talk:Queen Victoria         →  Victoria of the United Kingdom        2010/9/8 5:56 (+0d)
Victoria of the United Kingdom        →  Queen Victoria                        2010/10/12 8:40 (+34d)
Queen Victoria                        →  Victoria of the United Kingdom        2010/10/13 16:39 (+1d)
Victoria of the United Kingdom        →  Queen Victoria                        2010/10/13 17:22 (+0d)
Queen Victoria                        →  Queen Victoria zxcvbnm                2011/12/23 10:2 (+435d)
Queen Victoria zxcvbnm                →  Queen Victoria                        2011/12/23 10:4 (+0d)
------------------------------------  -  ------------------------------------  ------------------------

Mahatma Gandhi (n=7)
--------------------------  -  --------------------------  ------------------------
                            →  Mahatma Gandhi              2001/10/17 6:58 ()
Mahatma Gandhi              →  Mohandas Gandhi             2007/11/21 4:30 (+2225d)
Mohandas Gandhi             →  Mohandas Karamchand Gandhi  2007/12/1 16:17 (+10d)
Mohandas Karamchand Gandhi  →  Mahatma Gandhi              2013/2/20 22:5 (+1908d)
--------------------------  -  --------------------------  ------------------------

Alawites (n=7)
--------  -  --------  ------------------------
          →  Alawites  2004/1/20 19:1 ()
Alawites  →  ‘Alawī    2008/12/6 21:50 (+1782d)
‘Alawī    →  ‘Alawi    2008/12/7 9:4 (+0d)
‘Alawi    →  Alawi     2010/4/15 0:17 (+493d)
Alawi     →  Alawites  2012/12/27 20:36 (+987d)
--------  -  --------  ------------------------

Meghan, Duchess of Sussex (n=7)
-------------------------  -  -------------------------  ------------------------
                           →  Meghan Markle              2006/10/30 20:53 ()
Meghan Markle              →  Meghan, Duchess of Sussex  2018/5/19 11:15 (+4218d)
Meghan, Duchess of Sussex  →  Meghan Markle              2018/5/28 10:0 (+8d)
Meghan Markle              →  Meghan, Duchess of Sussex  2018/7/7 3:18 (+39d)
-------------------------  -  -------------------------  ------------------------

